head,relation,tail,text
kapilaa,wife of,aasuri,"kapilaa, a brahman woman, wife of aasuri."
kalinga,wife of,akrodhana,"karambhaa, daughter of the kalinga king and wife of akrodhana."
kausalyaa,wife of,puru,"kausalyaa, wife of puru."
kausalyaa,wife of,dasharatha,"kausalyaa, wife of dasharatha and mother of raama."
kausalyaa,wife of,janaka,"kausalyaa, wife of janaka."
keshini,wife of,ajamidha,"keshini, wife of ajamidha."
kripi,wife of,drona,"kripi, sister of kripa, wife of drona, and mother of ashvatthaa man."
bhaanu,wife of,ahamyaati,"kritaviryaduhitri  = bhaanu mati, the wife of ahamyaati."
kumaari,wife of,the elder bhimasena,"kumaari, wife of the elder bhimasena."
kumaari,wife of,dhananjaya,"kumaari, wife of dhananjaya."
kumbhinasi,wife of,the gandharva citraratha,"kumbhinasi, the wife of the gandharva citraratha."
lapitaa,wife of,mandapaala,"lapitaa, the second wife of mandapaala."
vidarbha,wife of,agastya,"lopaamudraa, daughter of the vidarbha king and wife of agastya."
madayanti,wife of,king kalmaashapaada,"madayanti, wife of king kalmaashapaada."
anantaa,wife of,janamejaya,"maadhavi = anantaa, the wife of janamejaya."
sampriyaa,wife of,viduratha,"maadhavi = sampriyaa, the wife of viduratha."
maadravati,wife of,parikshit,"maadravati, wife of parikshit."
maadri,wife of,paandu,"maadri, the wife of paandu and mother of nakula and sahadeva."
vijayaa,wife of,sahadeva,"maadri = vijayaa, the wife of sahadeva."
amritaa,wife of,anashvan,"maagadhi  = amritaa, wife of anashvan."
mamataa,wife of,utathya,"mamataa, the wife of utathya."
manari,wife of,raavana,"manari, wife of raavana."
muditaa,wife of,saha,"muditaa, wife of saha."
nandaa,wife of,harsha,"nandaa, wife of harsha."
nishaa,wife of,the fire,"nishaa, wife of the fire bhaanu."
nili,wife of,ajamidha,"nili, wife of ajamidha."
oghavat,wife of,sudarshana,"oghavati, daughter of oghavat2 and wife of sudarshana."
braahmani,wife of,aasuri,"pancashikha became a disciple of aasuri he lived on human milk he was accepted as a son by the braahmani kapilaa, the wife of aasuri, and used to suck her breasts."
paushti,wife of,puru,"paushti, wife of puru."
pradveshi,wife of,dirghatamas,"pradveshi, wife of dirghatamas."
pramadvaraa,wife of,ruru,"pramadvaraa, wife of ruru."
praapti1,wife of,shama,"praapti1, wife of shama."
jaraasandha,wife of,kamsa,"praapti2, daughter of jaraasandha and wife of kamsa."
suyajnaa,wife of,mahaabhauma,"praasenajiti  = suyajnaa, the wife of mahaabhauma."
praticyaa,wife of,pulastya,"praticyaa, the wife of pulastya."
priyaa,wife of,the fire adbhuta,"priyaa, wife of the fire adbhuta."
pulomaa,wife of,bhrigu,"pulomaa, the wife of bhrigu."
pushkaradhaarini,wife of,the brahman satya,"pushkaradhaarini, wife of the brahman satya."
pushkarini,wife of,bhumanyu,"pushkarini, wife of bhumanyu."
raadhaa,wife of,adhiratha,"raadhaa, wife of adhiratha, foster mother of karna."
rataa,wife of,prajaapati2,"rataa, wife of prajaapati2 and mother of the vasu ahar."
rathantari,wife of,ilina,"rathantari, wife of ilina."
rati1,wife of,kaama,"rati1, a goddess, wife of kaama."
renukaa,wife of,jamadagni,"renukaa, wife of jamadagni."
revati,wife of,balaraama,"revati, wife of balaraama."
rohini,wife of,vasudeva,"rohini, wife of vasudeva."
ruci3,wife of,devasharman,"ruci3, wife of devasharman."
riddhi,wife of,kubera,"riddhi, a goddess, wife of kubera."
rikshaa,wife of,ajamidha,"rikshaa, wife of ajamidha."
sanjnaa,wife of,vivasvat,"sanjnaa, wife of vivasvat and mother of the ashvins."
sunandaa,wife of,bharata,"saarvaseni  = sunandaa, wife of bharata."
satyaa,wife of,the fire shamyu,"satyaa, wife of the fire shamyu."
satyavati,wife of,shaantanu,"satyavati, daughter of vasu and adrikaa, by paraashara mother of vyaasa, wife of shaantanu and mother of citraangada and vicitraviryasarpasattrakrishnasya."
satyavati,wife of,ricika,"satyavati, daughter of gaadhi and wife of ricika."
satyavati,wife of,naarada,"satyavati, wife of naarada."
saavitri,wife of,satyavat,"saavitri, daughter of ashvapati and wife of satyavat."
janaka,wife of,raama,"sitaa, daughter of janaka, the videha king and wife of raama daasharathi."
shivaa,wife of,angiras,"svaahaa first gratified  her desire in the guise of shivaa, the wife of angiras, and then, lest somebody should unduly suspect the braahmana ladies, she went out of the forest in the guise of a bird, and on the shveta mountain, that was covered with clumps of reeds and guarded with seven headed poisonous serpents, raakshasas, pishaacas, etc she threw the semen, which she held in her hand, into a golden basin."
subhaa,wife of,angiras,"subhaa, wife of angiras."
sushobhanaa,wife of,king parikshit,"sushobhanaa, daughter of the frog king aayu and wife of king parikshit of ayodhyaa."
sudeshnaa,wife of,the anga,"sudeshnaa, wife of the anga king bali."
sudeshnaa,wife of,viraata,"sudeshnaa, wife of viraata."
sudharmaa,wife of,maatali,"sudharmaa, wife of maatali."
uddaalaka,wife of,kaoda,"sujaataa, daughter of uddaalaka, wife of kaoda, and mother of ashtaavakra."
sharyaati,wife of,cyavana,"sukanyaa, daughter of sharyaati and wife of cyavana."
sukanyaa,wife of,maatarishvan,"sukanyaa, wife of maatarishvan."
sumitraa,wife of,dasharatha,"sumitraa, wife of dasharatha."
sunandaa,wife of,sarvabhauma,"sunandaa, wife of sarvabhauma."
sarvasena,wife of,bharata,"sunandaa, daughter of sarvasena, wife of bharata."
sunandaa,wife of,pratipa,"sunandaa, wife of pratipa."
suprajaa,wife of,the fire,"suprajaa, wife of the fire bhaanu."
svarbhaanavi,wife of,aayus,"svarbhaanavi, wife of aayus."
taamraa,wife of,kashyapa,"taamraa, wife of kashyapa."
taaraa,wife of,the monkey,"taaraa, wife of the monkey vaalin."
urvashi,wife of,pururavas,"urvashi, an apsaras, wife of pururavas."
uttaraa,wife of,abhimanyu,"uttaraa, daughter of viraata, wife of abhimanyu, mother of parikshit."
vaidarbhi,wife of,sagara,"vaidarbhi, wife of sagara."
vaidehi,wife of,shataanika,"vaidehi, the wife of shataanika."
vapushtamaa,wife of,janamejaya,"vapushtamaa, the wife of janamejaya paarikshita."
drishadvat,wife of,samyaati,"varaangi, a princess, daughter of drishadvat and wife of samyaati."
adrishyanti,wife of,shaktri,"he now again went towards his hermitage, and was on the way addressed by adrishyanti, the wife of shaktri, who had for twelve years borne his child in her womb."
vasunandini,wife of,the vasu dyaus,"vasunandini, the wife of the vasu dyaus."
vishaalaa,wife of,ajamidha,"vishaalaa, wife of ajamidha."
jamadagni,wife of,gaadhi,"then, by the favour of ricika, she gave birth to jamadagni, and the wife of gaadhi to the brahmarshi  vishvaamitra, versed in the vedas."
viraa,wife of,the fire bharadvaaja,"viraa, wife of the fire bharadvaaja."
virini,wife of,daksha,"virini, wife of daksha."
yashodaa,wife of,the cowherd,"yashodaa, wife of the cowherd nanda."
